"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"TZA7W34R","conferencePaper","2020","Santini, Gianmarco; Fourcade, Constance; Moreau, Noémie; Rousseau, Caroline; Ferrer, Ludovic; Lacombe, Marie; Fleury, Vincent; Campone, Mario; Jézéquel, Pascal; Rubeaux, Mathieu","Unpaired PET/CT image synthesis of liver region using CycleGAN","16th International Symposium on Medical Information Processing and Analysis","978-1-5106-3991-1 978-1-5106-3992-8","","10.1117/12.2576095","https://www.spiedigitallibrary.org/conference-proceedings-of-spie/11583/2576095/Unpaired-PETCT-image-synthesis-of-liver-region-using-CycleGAN/10.1117/12.2576095.full","","2020-11-03","2020-11-20 11:44:46","2021-03-24 10:30:27","2020-11-20 11:44:46","6","","","","","","","","","","","SIPAIM","Lima, Peru","","","","","","DOI.org (Crossref)","","","","C:\Users\marubeaux\Mathieu\Perso\Keosys\Encadrement\01_SubmittedPapers\2020_03_ACCEPTED_SIPAIM2020_GianmarcoSantini.pdf; C:\Users\marubeaux\Zotero\storage\GNQUSG93\2020_03_ACCEPTED_SIPAIM2020_GianmarcoSantini.pdf","","","","Brieva, Jorge; Lepore, Natasha; Romero Castro, Eduardo; Linguraru, Marius G.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16th International Symposium on Medical Information Processing and Analysis","","","","","","","","","","","","","","",""
"FW8E9DSY","conferencePaper","2011","Rubeaux, M.; Nunes, Jean-Claude; Albera, Laurent; Garreau, Mireille","Approximation De L'information Mutuelle Basée Sur Un Développement D'edgeworth À L'ordre 3: Application Au Recalage Non-Rigide D'images Médicales.","RITS 2011 (Colloque National Recherche en Imagerie et Technologies pour la Santé)","","","","","","2011","2017-09-06 16:36:02","2017-09-06 16:36:02","","p.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EM69VUHA","thesis","2011","Rubeaux, Mathieu","Approximation de l'Information Mutuelle basée sur le développement d'Edgeworth: application au recalage d'images médicales.","","","","","","","2011","2017-09-06 16:36:02","2017-09-06 16:36:02","","","","","","","","","","","","","Université Rennes 1","","","","","","","","","","","C:\Users\marubeaux\Mathieu\Perso\00_MCF\website\These_Mathieu_Rubeaux.pdf; C:\Users\marubeaux\Zotero\storage\37MMF2P5\These_Mathieu_Rubeaux.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8I5NXYMM","journalArticle","2021","Colombié, Mathilde; Jézéquel, Pascal; Rubeaux, Mathieu; Frenel, Jean-Sébastien; Bigot, Frédéric; Seegers, Valérie; Campone, Mario","The EPICURE study: a pilot prospective cohort study of heterogeneous and massive data integration in metastatic breast cancer patients","BMC Cancer","","1471-2407","10.1186/s12885-021-08060-8","https://bmccancer.biomedcentral.com/articles/10.1186/s12885-021-08060-8","Abstract                            Background               Breast cancer is the most common cancer in women and the first cancer concerning mortality. Metastatic breast cancer remains a disease with a poor prognosis and about 30% of women diagnosed with an early stage will have a secondary progression. Metastatic breast cancer is an incurable disease despite significant therapeutic advances in both supportive cares and targeted specific therapies. In the management of a metastatic patient, each clinician follows a highly complex and strictly personal decision making process. It is based on a number of objective and subjective parameters which guides therapeutic choice in the most individualized or adapted manner.                                         Methods/design               The main objective is to integrate massive and heterogeneous data concerning the patient’s environment, personal and familial history, clinical and biological data, imaging, histological results (with multi-omics data), and microbiota analysis. These characteristics are multiple and in dynamic interaction overtime. With the help of mathematical units with biological competences and scientific collaborations, our project is to improve the comprehension of treatment response, based on health clinical and molecular heterogeneous big data investigation.                                         Discussion               Our project is to prove feasibility of creation of a clinico-biological database prospectively by collecting epidemiological, socio-economic, clinical, biological, pathological, multi-omic data and to identify characteristics related to the overall survival status before treatment and within 15 years after treatment start from a cohort of 300 patients with a metastatic breast cancer treated in the institution.                                         Trial registration                                ClinicalTrials.gov identifier (NCT number):                 NCT03958136                 . Registration 21st of May, 2019; retrospectively registered.","2021-12","2026-02-09 10:05:49","2026-02-09 10:05:49","2026-02-09 10:05:49","333","","1","21","","BMC Cancer","The EPICURE study","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\marubeaux\Zotero\storage\5BQ23DH3\Colombié et al. - 2021 - The EPICURE study a pilot prospective cohort study of heterogeneous and massive data integration in.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JDXG5265","journalArticle","2023","Hering, Alessa; Hansen, Lasse; Mok, Tony C. W.; Chung, Albert C. S.; Siebert, Hanna; Hager, Stephanie; Lange, Annkristin; Kuckertz, Sven; Heldmann, Stefan; Shao, Wei; Vesal, Sulaiman; Rusu, Mirabela; Sonn, Geoffrey; Estienne, Theo; Vakalopoulou, Maria; Han, Luyi; Huang, Yunzhi; Yap, Pew-Thian; Brudfors, Mikael; Balbastre, Yael; Joutard, Samuel; Modat, Marc; Lifshitz, Gal; Raviv, Dan; Lv, Jinxin; Li, Qiang; Jaouen, Vincent; Visvikis, Dimitris; Fourcade, Constance; Rubeaux, Mathieu; Pan, Wentao; Xu, Zhe; Jian, Bailiang; De Benetti, Francesca; Wodzinski, Marek; Gunnarsson, Niklas; Sjolund, Jens; Grzech, Daniel; Qiu, Huaqi; Li, Zeju; Thorley, Alexander; Duan, Jinming; Grosbrohmer, Christoph; Hoopes, Andrew; Reinertsen, Ingerid; Xiao, Yiming; Landman, Bennett; Huo, Yuankai; Murphy, Keelin; Lessmann, Nikolas; Van Ginneken, Bram; Dalca, Adrian V.; Heinrich, Mattias P.","Learn2Reg: Comprehensive Multi-Task Medical Image Registration Challenge, Dataset and Evaluation in the Era of Deep Learning","IEEE Transactions on Medical Imaging","","0278-0062, 1558-254X","10.1109/TMI.2022.3213983","https://ieeexplore.ieee.org/document/9925717/","","2023-03","2026-02-09 10:07:20","2026-02-09 10:07:20","2026-02-09 10:07:20","697-712","","3","42","","IEEE Trans. Med. Imaging","Learn2Reg","","","","","","","","https://creativecommons.org/licenses/by/4.0/legalcode","","","","DOI.org (Crossref)","","","","C:\Users\marubeaux\Zotero\storage\WMZWBFAW\Hering et al. - 2023 - Learn2Reg Comprehensive Multi-Task Medical Image Registration Challenge, Dataset and Evaluation in.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F652K2FW","journalArticle","2021","Moreau, Noémie; Rousseau, Caroline; Fourcade, Constance; Santini, Gianmarco; Brennan, Aislinn; Ferrer, Ludovic; Lacombe, Marie; Guillerminet, Camille; Colombié, Mathilde; Jézéquel, Pascal; Campone, Mario; Normand, Nicolas; Rubeaux, Mathieu","Automatic Segmentation of Metastatic Breast Cancer Lesions on 18F-FDG PET/CT Longitudinal Acquisitions for Treatment Response Assessment","Cancers","","2072-6694","10.3390/cancers14010101","https://www.mdpi.com/2072-6694/14/1/101","Metastatic breast cancer patients receive lifelong medication and are regularly monitored for disease progression. The aim of this work was to (1) propose networks to segment breast cancer metastatic lesions on longitudinal whole-body PET/CT and (2) extract imaging biomarkers from the segmentations and evaluate their potential to determine treatment response. Baseline and follow-up PET/CT images of 60 patients from the EPICUREseinmeta study were used to train two deep-learning models to segment breast cancer metastatic lesions: One for baseline images and one for follow-up images. From the automatic segmentations, four imaging biomarkers were computed and evaluated: SULpeak, Total Lesion Glycolysis (TLG), PET Bone Index (PBI) and PET Liver Index (PLI). The first network obtained a mean Dice score of 0.66 on baseline acquisitions. The second network obtained a mean Dice score of 0.58 on follow-up acquisitions. SULpeak, with a 32% decrease between baseline and follow-up, was the biomarker best able to assess patients’ response (sensitivity 87%, specificity 87%), followed by TLG (43% decrease, sensitivity 73%, specificity 81%) and PBI (8% decrease, sensitivity 69%, specificity 69%). Our networks constitute promising tools for the automatic segmentation of lesions in patients with metastatic breast cancer allowing treatment response assessment with several biomarkers.","2021-12-26","2026-03-04 12:28:15","2026-03-04 12:28:15","2026-03-04 12:28:15","101","","1","14","","Cancers","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\marubeaux\Zotero\storage\V4JQXK6P\Moreau et al. - 2021 - Automatic Segmentation of Metastatic Breast Cancer Lesions on 18F-FDG PETCT Longitudinal Acquisitio.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3EXHDC5I","journalArticle","2022","Fourcade, Constance; Ferrer, Ludovic; Moreau, Noémie; Santini, Gianmarco; Brennan, Aislinn; Rousseau, Caroline; Lacombe, Marie; Fleury, Vincent; Colombié, Mathilde; Jézéquel, Pascal; Rubeaux, Mathieu; Mateus, Diana","Deformable image registration with deep network priors: a study on longitudinal PET images","Physics in Medicine & Biology","","0031-9155, 1361-6560","10.1088/1361-6560/ac7e17","https://iopscience.iop.org/article/10.1088/1361-6560/ac7e17","Abstract                            Objective.               This paper proposes a novel approach for the longitudinal registration of PET imaging acquired for the monitoring of patients with metastatic breast cancer. Unlike with other image analysis tasks, the use of deep learning (DL) has not significantly improved the performance of image registration. With this work, we propose a new registration approach to bridge the performance gap between conventional and DL-based methods: medical image registration method regularized by architecture (               MIRRBA               ).               Approach.               MIRRBA               is a subject-specific deformable registration method which relies on a deep pyramidal architecture to parametrize the deformation field. Diverging from the usual deep-learning paradigms,               MIRRBA               does not require a learning database, but only a pair of images to be registered that is used to optimize the network's parameters. We applied               MIRRBA               on a private dataset of 110 whole-body PET images of patients with metastatic breast cancer. We used different architecture configurations to produce the deformation field and studied the results obtained. We also compared our method to several standard registration approaches: two conventional iterative registration methods (ANTs and Elastix) and two supervised DL-based models (LapIRN and Voxelmorph). Registration accuracy was evaluated using the Dice score, the target registration error, the average Hausdorff distance and the detection rate, while the realism of the registration obtained was evaluated using Jacobian's determinant. The ability of the different methods to shrink disappearing lesions was also computed with the disappearing rate.               Main results.               MIRRBA significantly improved all metrics when compared to DL-based approaches. The organ and lesion Dice scores of Voxelmorph improved by 6% and 52% respectively, while the ones of LapIRN increased by 5% and 65%. Regarding conventional approaches, MIRRBA presented comparable results showing the feasibility of our method.               Significance.               In this paper, we also demonstrate the regularizing power of deep architectures and present new elements to understand the role of the architecture in DL methods used for registration.","2022-08-07","2026-03-04 12:30:28","2026-03-04 12:30:28","2026-03-04 12:30:28","155011","","15","67","","Phys. Med. Biol.","Deformable image registration with deep network priors","","","","","","","","","","","","DOI.org (Crossref)","","","","C:\Users\marubeaux\Zotero\storage\5HVG8369\Fourcade et al. - 2022 - Deformable image registration with deep network priors a study on longitudinal PET images.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZSNPLTMU","journalArticle","2014","Rubeaux, M.; Nunes, J.-C.; Albera, L.; Garreau, M.","Medical image registration using Edgeworth-based approximation of Mutual Information","IRBM","","19590318","10.1016/j.irbm.2013.12.004","https://linkinghub.elsevier.com/retrieve/pii/S1959031813001401","","2014-06","2026-03-04 12:32:51","2026-03-04 12:32:51","2026-03-04 12:32:51","139-148","","3","35","","IRBM","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\marubeaux\Mathieu\Perso\00_MCF\website\1-s2.0-S1959031813001401-main.pdf; C:\Users\marubeaux\Zotero\storage\IR374WDG\1-s2.0-S1959031813001401-main.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABJB6T5I","conferencePaper","2010","Rubeaux, Mathieu; Nunes, Jean-Claude; Albera, Laurent; Garreau, Mireille","Edgeworth-based approximation of Mutual Information for medical image registration","2010 2nd International Conference on Image Processing Theory, Tools and Applications","978-1-4244-7247-5","","10.1109/IPTA.2010.5586789","http://ieeexplore.ieee.org/document/5586789/","","2010-07","2026-03-04 13:11:52","2026-03-04 13:11:52","2026-03-04 13:11:52","195-200","","","","","","","","","","","IEEE","Paris, France","","","","","","DOI.org (Crossref)","","","","C:\Users\marubeaux\Mathieu\Perso\00_MCF\website\Edgeworth-based_approximation_of_Mutual_Information_for_medical_image_registration.pdf; C:\Users\marubeaux\Zotero\storage\W32GKU5A\Edgeworth-based_approximation_of_Mutual_Information_for_medical_image_registration.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2010 2nd International Conference on Image Processing Theory, Tools and Applications (IPTA)","","","","","","","","","","","","","","",""
"9WWNVW79","conferencePaper","2012","Rubeaux, Mathieu; Cazoulat, Guillaume; Duménil, Aurélien; Lafond, Caroline; Acosta, Oscar; Crevoisier, Renaud De; Simon, Antoine; Haigron, Pascal","Numerical phantom generation to evaluate non-rigid CT/CBCT registration algorithms for prostate cancer radiotherapy","","","","10.13140/2.1.4227.3289","https://www.researchgate.net/doi/10.13140/2.1.4227.3289","","2012","2026-03-04 13:13:25","2026-03-04 16:47:59","2026-03-04 13:13:25","","","","","","","","","","","","","","en","","","","","DOI.org (Datacite)","","","","C:\Users\marubeaux\Mathieu\Perso\00_MCF\website\Rubeaux.pdf; C:\Users\marubeaux\Zotero\storage\4JUPFPIA\Rubeaux.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","first MICCAI workshop on Image-Guidance and Multimodal Dose Planning in Radiation Therapy","","","","","","","","","","","","","","",""
"QPF7KCZT","conferencePaper","2013","Rubeaux, Mathieu; Simon, Antoine; Gnep, Khemara; Colliaux, Jérémy; Acosta, Oscar; De Crevoisier, Renaud; Haigron, Pascal","Evaluation of non-rigid constrained CT/CBCT registration algorithms for delineation propagation in the context of prostate cancer radiotherapy","","","","10.1117/12.2004519","http://proceedings.spiedigitallibrary.org/proceeding.aspx?doi=10.1117/12.2004519","","2013-03-08","2026-03-04 13:14:42","2026-03-04 13:14:42","2026-03-04 13:14:42","867106","","","","","","","","","","","","Lake Buena Vista (Orlando Area), Florida, USA","","","","","","DOI.org (Crossref)","","","","C:\Users\marubeaux\Mathieu\Perso\00_MCF\website\article.pdf; C:\Users\marubeaux\Zotero\storage\4W85PMS8\article.pdf","","","","Holmes, David R.; Yaniv, Ziv R.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SPIE Medical Imaging","","","","","","","","","","","","","","",""
"8VXMP4NQ","journalArticle","2016","Rubeaux, Mathieu; Joshi, Nikhil V.; Dweck, Marc R.; Fletcher, Alison; Motwani, Manish; Thomson, Louise E.; Germano, Guido; Dey, Damini; Li, Debiao; Berman, Daniel S.; Newby, David E.; Slomka, Piotr J.","Motion Correction of<sup>18</sup> F-NaF PET for Imaging Coronary Atherosclerotic Plaques","Journal of Nuclear Medicine","","0161-5505, 2159-662X","10.2967/jnumed.115.162990","http://jnm.snmjournals.org/lookup/doi/10.2967/jnumed.115.162990","","2016-01","2026-03-04 13:17:01","2026-03-04 13:17:01","2026-03-04 13:17:01","54-59","","1","57","","J Nucl Med","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\marubeaux\Zotero\storage\NS9H8RGU\Rubeaux et al. - 2016 - Motion Correction of18 F-NaF PET for Imaging Coronary Atherosclerotic Plaques.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y4N8TGEU","conferencePaper","2015","Rubeaux, Mathieu; Mahalingam, Jamuna Jayashri; Gomez, Francisco; Nelson, Marvin; Vanhaudenhuyse, Audrey; Bruno, Marie-Aurélie; Gosseries, Olivia; Laureys, Steven; Soddu, Andrea; Lepore, Natasha","Thalamic volume as a biomarker for disorders of consciousness","","","","10.1117/12.2071146","http://proceedings.spiedigitallibrary.org/proceeding.aspx?doi=10.1117/12.2071146","","2015-01-30","2026-03-04 13:18:24","2026-03-04 13:18:24","2026-03-04 13:18:24","92870R","","","","","","","","","","","","Cartagena de Indias, Colombia","","","","","","DOI.org (Crossref)","","","","C:\Users\marubeaux\Mathieu\Perso\00_MCF\website\SIPAIM2014_Rubeaux.pdf; C:\Users\marubeaux\Zotero\storage\CMAJ967D\SIPAIM2014_Rubeaux.pdf","","","","Romero, Eduardo; Lepore, Natasha","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Tenth International Symposium on Medical Information Processing and Analysis","","","","","","","","","","","","","","",""
"788LBIZU","conferencePaper","2016","Išgum, Ivana; De Vos, Bob D.; Wolterink, Jelmer M.; Dey, Damini; Berman, Daniel S.; Rubeaux, Mathieu; Leiner, Tim; Slomka, Piotr J.","Automatic detection of cardiovascular risk in CT attenuation correction maps in Rb-82 PET/CTs","","","","10.1117/12.2216992","http://proceedings.spiedigitallibrary.org/proceeding.aspx?doi=10.1117/12.2216992","","2016-03-21","2026-03-04 13:21:20","2026-03-04 13:21:20","2026-03-04 13:21:20","978405","","","","","","","","","","","","San Diego, California, United States","","","","","","DOI.org (Crossref)","","","","","","","","Styner, Martin A.; Angelini, Elsa D.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SPIE Medical Imaging","","","","","","","","","","","","","","",""
